Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
128,0,128-0,f0,-1.08031929,128-1,128-2,128-2,13.968358,2008.21436,
128,1,128-1,f1,5.0999999,128-3,128-4,128-4,5.0625267,81.7458344,
128,2,128-2,f0,1.17498672,128-5,128-6,128-6,8.09409904,1926.46851,
128,3,128-3,f1,3.9333334,128-7,128-8,128-8,1.07328987,42.4701118,
128,4,128-4,f1,5.76666689,128-9,128-10,128-10,1.7435503,39.2757263,
128,5,128-5,f0,0.125661373,128-11,128-12,128-12,3.4318347,1820.5105,
128,6,128-6,f0,1.75068581,128-13,128-14,128-14,2.39972401,105.958,
128,7,128-7,f1,3.4000001,128-15,128-16,128-16,2.02632332,33.0057182,
128,8,128-8,Leaf,,,,,-0.0288489237,9.46439171,
128,9,128-9,Leaf,,,,,0.0101601016,5.41516209,
128,10,128-10,f1,8.16666698,128-17,128-18,128-18,2.19899082,33.8605652,
128,11,128-11,f1,0.966666639,128-19,128-20,128-20,3.62667894,1082.77466,
128,12,128-12,f3,0.0700000003,128-21,128-22,128-22,3.93338776,737.735901,
128,13,128-13,f1,9.60000038,128-23,128-24,128-24,1.93722892,82.3904343,
128,14,128-14,f3,0.00999999978,128-25,128-26,128-26,0.213158607,23.5675697,
128,15,128-15,Leaf,,,,,-0.0191370603,27.5520668,
128,16,128-16,Leaf,,,,,0.000695298426,5.45365191,
128,17,128-17,Leaf,,,,,-0.0146328546,16.1157131,
128,18,128-18,Leaf,,,,,0.000416232564,17.7448502,
128,19,128-19,Leaf,,,,,-0.0232236069,5.75155306,
128,20,128-20,Leaf,,,,,-0.00116175239,1077.02307,
128,21,128-21,Leaf,,,,,0.00109010492,728.483215,
128,22,128-22,Leaf,,,,,0.0198067687,9.25267982,
128,23,128-23,Leaf,,,,,0.00398920197,73.546524,
128,24,128-24,Leaf,,,,,0.0182799883,8.84391212,
128,25,128-25,Leaf,,,,,0.0188837107,16.0856266,
128,26,128-26,Leaf,,,,,0.00992129743,7.48194218,
129,0,129-0,f0,0.674489737,129-1,129-2,129-2,10.3633623,2000.01929,
129,1,129-1,f0,-1.03643334,129-3,129-4,129-4,8.09396648,1709.46497,
129,2,129-2,f0,1.88079405,129-5,129-6,129-6,3.07749557,290.554321,
129,3,129-3,f2,-0.00999999978,129-7,129-8,129-8,2.69470787,87.6343842,
