Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
11,18,11-18,Leaf,,,,,-0.0288968831,107915.352,
11,19,11-19,Leaf,,,,,-0.0216960181,71449.9297,
11,20,11-20,Leaf,,,,,-0.0152893765,117444.648,
11,21,11-21,Leaf,,,,,-0.0102162138,96794.0,
11,22,11-22,Leaf,,,,,-0.00477998005,126009.641,
11,23,11-23,Leaf,,,,,-4.76668611e-05,141272.125,
11,24,11-24,Leaf,,,,,0.00575388549,130202.328,
11,25,11-25,Leaf,,,,,0.0113359969,135298.641,
11,26,11-26,Leaf,,,,,0.018275084,154260.531,
11,27,11-27,Leaf,,,,,0.0254285112,79193.7188,
11,28,11-28,Leaf,,,,,0.031857688,91003.5234,
11,29,11-29,Leaf,,,,,0.0380995274,70378.8359,
11,30,11-30,Leaf,,,,,0.0446348712,119034.789,
12,0,12-0,f0,0.0,12-1,12-2,12-2,818617.625,1674080.75,
12,1,12-1,f0,-0.706302583,12-3,12-4,12-4,157103.875,825619.062,
12,2,12-2,f0,0.772193193,12-5,12-6,12-6,143267.594,848461.75,
12,3,12-3,f0,-1.22652817,12-7,12-8,12-8,13869.2812,345404.281,
12,4,12-4,f0,-0.33185336,12-9,12-10,12-10,17329.3516,480214.75,
12,5,12-5,f0,0.33185336,12-11,12-12,12-12,18572.6094,517621.875,
12,6,12-6,f0,1.2815516,12-13,12-14,12-14,13600.1562,330839.875,
12,7,12-7,f0,-1.64485359,12-15,12-16,12-16,1256.15625,172682.422,
12,8,12-8,f0,-0.994457901,12-17,12-18,12-18,1990.1875,172721.859,
12,9,12-9,f0,-0.553384721,12-19,12-20,12-20,2324.4375,206779.094,
