tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
9,-1c,-1,0,44,CatBoost,0.5556672104542811,0.5696977923576831,0.5712391928569378,0.5729157413774958,0.5661884158150042,0.5696747727801388,0.5586470736155495,0.5705737001126163,0.5556672104542811,0.5632533460327208
9,+0c,0,1,123,CatBoost,0.46453229534317214,0.4682003754317302,0.47782842862847275,0.48403166190374913,0.4682003754317302,0.4708198259818102,0.4674125111968434,0.4709597763594002,0.46453229534317214,0.48073703443839494
9,+1c,1,2,59,XGBoost,0.5701699964729494,0.5790617252467787,0.5795709712435414,0.5805220093335665,0.5844192028089477,0.5793037172559015,0.5701699964729494,0.574093383163175,0.5724820137375298,0.5725260862391662
9,+2c,2,3,17,LightGBM,0.584878767875369,0.6412977785956206,0.6372805436924933,0.6355759985175067,0.6243246414759288,0.6580081548930543,0.6238247813299816,0.584878767875369,0.6341765231177479,0.6302627299869631
9,+3c,3,4,6,Machine Learning (Logistic Regression),0.4622539757281299,0.4724975938382549,0.4809548964959538,0.4864638087939473,0.48026432657437224,0.4622539757281299,0.48920582764206805,0.5195491882311124,0.49877564642001904,0.4870730867684833
9,+4c,4,5,1,Machine Learning (Logistic Regression),0.4679073338249257,0.4942962983637726,0.5035069551014978,0.5092848894445405,0.5276327170787288,0.4679073338249257,0.5902578905624952,0.5748165907505415,0.5278085226750883,0.5450002410450809
9,+6c,6,7,1,XGBoost,0.15527135830105365,0.19845094744646924,0.22438762644004973,0.2404797841634145,0.17435339619191137,0.21641379612905498,0.15527135830105365,0.16808414271558386,0.15911026218086827,0.2705081693905807
9,+8c,8,9,1,LightGBM,0.8644499055621976,0.9942522604563763,0.9762280965612959,0.9651759668792864,1.0498221095975167,0.9632958943982982,0.9926921585627178,0.8644499055621976,1.1582056932156266,0.9052119819578951
9,+9c,9,10,1,Machine Learning (Logistic Regression),0.242837210492867,0.2876820724517809,0.3078318030165453,0.3204291750071178,0.31471074422732376,0.242837210492867,0.3425983469420723,0.34159139154650336,0.2660627699077511,0.36637602901382044
9,+14c,14,15,1,CatBoost,0.0916755734323868,0.1625189014485307,0.19085815637529235,0.20838415383876574,0.13926204044290677,0.1933236794505656,0.11216005880094389,0.15921368057392965,0.0916755734323868,0.22597989324445283
8,-22c,-22,-21,1,CatBoost,0.24931386606021397,0.3011050798964309,0.3204396242965081,0.33253735819485314,0.2744368337416178,0.39317688515688975,0.4030150678525428,0.328501203492156,0.24931386606021397,0.3793519719594695
